em_KEGG_ko,kegg_pathway_id,Overview_category,pathway_name
K18687,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K18688,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K22818,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K22819,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K22820,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K22821,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K22822,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K25621,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K25622,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K25623,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K28218,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K28219,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K28220,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K28221,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K28222,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K28224,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K28225,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K28226,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K28227,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K28228,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K28229,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K28230,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K28231,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K28232,ko00984,Xenobiotics biodegradation and metabolism,Steroid degradation
K12643,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K12644,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K15812,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K18383,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K24276,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K24277,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K25060,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K25486,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K25487,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K25488,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K25489,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K25490,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K25491,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K25492,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K27598,ko00996,Biosynthesis of other secondary metabolites,Biosynthesis of various alkaloids
K03894,ko00997,Biosynthesis of other secondary metabolites,Biosynthesis of various other secondary metabolites
K03895,ko00997,Biosynthesis of other secondary metabolites,Biosynthesis of various other secondary metabolites
K03896,ko00997,Biosynthesis of other secondary metabolites,Biosynthesis of various other secondary metabolites
K03897,ko00997,Biosynthesis of other secondary metabolites,Biosynthesis of various other secondary metabolites
K13787,ko00997,Biosynthesis of other secondary metabolites,Biosynthesis of various other secondary metabolites
K17835,ko00997,Biosynthesis of other secondary metabolites,Biosynthesis of various other secondary metabolites
K18287,ko00997,Biosynthesis of other secondary metabolites,Biosynthesis of various other secondary metabolites
K18686,ko00997,Biosynthesis of other secondary metabolites,Biosynthesis of various other secondary metabolites
K20204,ko00997,Biosynthesis of other secondary metabolites,Biosynthesis of various other secondary metabolites
K20980,ko00997,Biosynthesis of other secondary metabolites,Biosynthesis of various other secondary metabolites
K20981,ko00997,Biosynthesis of other secondary metabolites,Biosynthesis of various other secondary metabolites
K20982,ko00997,Biosynthesis of other secondary metabolites,Biosynthesis of various other secondary metabolites
